Breeding_season,Nest_box_ID,Female_ID ,Female_cohort,Female_age,First_egg_lay_date,Lay_av_temp_celcius,Clutch_size,Inc_start_date,Laying_gap,Hatch_date,Inc_period_length_days,Obs_date,Obs_bout_time,Inc_day,Total_obs_duration_minutes,Bout_type_on_off,Bout_duration_seconds,Obs_Niwa_daily_av_ambient_temp_celcius,Lay_date_av_temp
2019/2020,AB/3,CP13045,2018/2019,1,10/11/2019,17.61817244,4,13/11/2019,0,29/11/2019,16,27/11/2019,09:05:57,14,81.01666667,off,522,17.28785701,17.61817244
2019/2020,AB/3,CP13045,2018/2019,1,10/11/2019,17.61817244,4,13/11/2019,0,29/11/2019,16,27/11/2019,09:14:39,14,81.01666667,off,512,17.28785701,17.61817244
2019/2020,AB/3,CP13045,2018/2019,1,10/11/2019,17.61817244,4,13/11/2019,0,29/11/2019,16,27/11/2019,09:23:11,14,81.01666667,on,282,17.28785701,17.61817244
2019/2020,AB/3,CP13045,2018/2019,1,10/11/2019,17.61817244,4,13/11/2019,0,29/11/2019,16,27/11/2019,09:27:53,14,81.01666667,off,248,17.28785701,17.61817244
2019/2020,AB/3,CP13045,2018/2019,1,10/11/2019,17.61817244,4,13/11/2019,0,29/11/2019,16,27/11/2019,09:32:01,14,81.01666667,on,271,17.28785701,17.61817244
2019/2020,AB/3,CP13045,2018/2019,1,10/11/2019,17.61817244,4,13/11/2019,0,29/11/2019,16,27/11/2019,09:36:32,14,81.01666667,off,221,17.28785701,17.61817244
2019/2020,AB/3,CP13045,2018/2019,1,10/11/2019,17.61817244,4,13/11/2019,0,29/11/2019,16,27/11/2019,09:40:13,14,81.01666667,on,180,17.28785701,17.61817244
2019/2020,AB/3,CP13045,2018/2019,1,10/11/2019,17.61817244,4,13/11/2019,0,29/11/2019,16,27/11/2019,09:43:13,14,81.01666667,off,367,17.28785701,17.61817244
2019/2020,AB/3,CP13045,2018/2019,1,10/11/2019,17.61817244,4,13/11/2019,0,29/11/2019,16,27/11/2019,09:49:20,14,81.01666667,on,237,17.28785701,17.61817244
2019/2020,AB/3,CP13045,2018/2019,1,10/11/2019,17.61817244,4,13/11/2019,0,29/11/2019,16,27/11/2019,09:53:17,14,81.01666667,off,284,17.28785701,17.61817244
2019/2020,AB/3,CP13045,2018/2019,1,10/11/2019,17.61817244,4,13/11/2019,0,29/11/2019,16,27/11/2019,09:58:01,14,81.01666667,on,267,17.28785701,17.61817244
2019/2020,AB/3,CP13045,2018/2019,1,10/11/2019,17.61817244,4,13/11/2019,0,29/11/2019,16,27/11/2019,10:02:28,14,81.01666667,off,208,17.28785701,17.61817244
2019/2020,AB/3,CP13045,2018/2019,1,10/11/2019,17.61817244,4,13/11/2019,0,29/11/2019,16,27/11/2019,10:05:56,14,81.01666667,on,260,17.28785701,17.61817244
2019/2020,AB/3,CP13045,2018/2019,1,10/11/2019,17.61817244,4,13/11/2019,0,29/11/2019,16,27/11/2019,10:10:16,14,81.01666667,off,301,17.28785701,17.61817244
2019/2020,AB/3,CP13045,2018/2019,1,10/11/2019,17.61817244,4,13/11/2019,0,29/11/2019,16,27/11/2019,10:15:17,14,81.01666667,on,44,17.28785701,17.61817244
2019/2020,AB/3,CP13045,2018/2019,1,10/11/2019,17.61817244,4,13/11/2019,0,29/11/2019,16,27/11/2019,10:16:01,14,81.01666667,off,36,17.28785701,17.61817244
2019/2020,AB/3,CP13045,2018/2019,1,10/11/2019,17.61817244,4,13/11/2019,0,29/11/2019,16,27/11/2019,10:16:37,14,81.01666667,on,234,17.28785701,17.61817244
2019/2020,AB/3,CP13045,2018/2019,1,10/11/2019,17.61817244,4,13/11/2019,0,29/11/2019,16,27/11/2019,10:20:31,14,81.01666667,off,387,17.28785701,17.61817244
2019/2020,AB/3,CP13045,2018/2019,1,10/11/2019,17.61817244,4,13/11/2019,0,29/11/2019,16,27/11/2019,10:26:58,14,81.01666667,on,N/A,17.28785701,17.61817244
2019/2020,AB/3,CP13045,2018/2019,1,10/11/2019,17.61817244,4,13/11/2019,0,29/11/2019,16,20/11/2019,10:24:44,7,63,off,272,13.51665639,17.61817244
2019/2020,AB/3,CP13045,2018/2019,1,10/11/2019,17.61817244,4,13/11/2019,0,29/11/2019,16,20/11/2019,10:29:16,7,63,on,402,13.51665639,17.61817244
2019/2020,AB/3,CP13045,2018/2019,1,10/11/2019,17.61817244,4,13/11/2019,0,29/11/2019,16,20/11/2019,10:35:58,7,63,off,N/A,13.51665639,17.61817244
2019/2020,AB/3,CP13045,2018/2019,1,10/11/2019,17.61817244,4,13/11/2019,0,29/11/2019,16,27/11/2019,08:03:40,14,81.01666667,off,344,17.28785701,17.61817244
2019/2020,AB/3,CP13045,2018/2019,1,10/11/2019,17.61817244,4,13/11/2019,0,29/11/2019,16,27/11/2019,08:09:24,14,81.01666667,on,437,17.28785701,17.61817244
2019/2020,AB/3,CP13045,2018/2019,1,10/11/2019,17.61817244,4,13/11/2019,0,29/11/2019,16,27/11/2019,08:16:41,14,81.01666667,off,279,17.28785701,17.61817244
2019/2020,AB/3,CP13045,2018/2019,1,10/11/2019,17.61817244,4,13/11/2019,0,29/11/2019,16,27/11/2019,08:21:20,14,81.01666667,on,151,17.28785701,17.61817244
2019/2020,AB/3,CP13045,2018/2019,1,10/11/2019,17.61817244,4,13/11/2019,0,29/11/2019,16,27/11/2019,08:23:51,14,81.01666667,off,230,17.28785701,17.61817244
2019/2020,AB/3,CP13045,2018/2019,1,10/11/2019,17.61817244,4,13/11/2019,0,29/11/2019,16,27/11/2019,08:27:41,14,81.01666667,on,167,17.28785701,17.61817244
2019/2020,AB/3,CP13045,2018/2019,1,10/11/2019,17.61817244,4,13/11/2019,0,29/11/2019,16,27/11/2019,08:30:28,14,81.01666667,off,194,17.28785701,17.61817244
2019/2020,AB/3,CP13045,2018/2019,1,10/11/2019,17.61817244,4,13/11/2019,0,29/11/2019,16,27/11/2019,08:33:42,14,81.01666667,on,215,17.28785701,17.61817244
2019/2020,AB/3,CP13045,2018/2019,1,10/11/2019,17.61817244,4,13/11/2019,0,29/11/2019,16,27/11/2019,08:37:17,14,81.01666667,off,132,17.28785701,17.61817244
2019/2020,AB/3,CP13045,2018/2019,1,10/11/2019,17.61817244,4,13/11/2019,0,29/11/2019,16,27/11/2019,08:39:29,14,81.01666667,on,157,17.28785701,17.61817244
2019/2020,AB/3,CP13045,2018/2019,1,10/11/2019,17.61817244,4,13/11/2019,0,29/11/2019,16,27/11/2019,08:42:06,14,81.01666667,off,759,17.28785701,17.61817244
2019/2020,AB/3,CP13045,2018/2019,1,10/11/2019,17.61817244,4,13/11/2019,0,29/11/2019,16,27/11/2019,08:54:45,14,81.01666667,off,N/A,17.28785701,17.61817244
2019/2020,B1/11,CP11845,2016/2017,3,05/11/2019,16.12916613,4,09/11/2019,1,23/11/2019,14,10/11/2019,15:01:26,1,69,off,288,17.61817244,16.12916613
2019/2020,B1/11,CP11845,2016/2017,3,05/11/2019,16.12916613,4,09/11/2019,1,23/11/2019,14,10/11/2019,15:06:14,1,69,on,1854,17.61817244,16.12916613
2019/2020,B1/11,CP11845,2016/2017,3,05/11/2019,16.12916613,4,09/11/2019,1,23/11/2019,14,10/11/2019,15:37:08,1,69,off,175,17.61817244,16.12916613
2019/2020,B1/11,CP11845,2016/2017,3,05/11/2019,16.12916613,4,09/11/2019,1,23/11/2019,14,10/11/2019,15:40:03,1,69,on,467,17.61817244,16.12916613
2019/2020,B1/11,CP11845,2016/2017,3,05/11/2019,16.12916613,4,09/11/2019,1,23/11/2019,14,10/11/2019,15:47:50,1,69,off,331,17.61817244,16.12916613
2019/2020,B1/11,CP11845,2016/2017,3,05/11/2019,16.12916613,4,09/11/2019,1,23/11/2019,14,10/11/2019,15:53:21,1,69,on,N/A,17.61817244,16.12916613
2019/2020,B1/11,CP11845,2016/2017,3,05/11/2019,16.12916613,4,09/11/2019,1,23/11/2019,14,18/11/2019,12:23:32,7,60,off,330,16.81427965,16.12916613
2019/2020,B1/11,CP11845,2016/2017,3,05/11/2019,16.12916613,4,09/11/2019,1,23/11/2019,14,18/11/2019,12:29:02,7,60,on,1341,16.81427965,16.12916613
