Breeding_season,Nest,Female_ID,Female_age,Clutch_size,Laying_gap,Day_of_inc,First_egg_lay_date,Inc_start_date,Obs_date,Obs_start_time,Obs_Av_daily_temp_celcius,Inc_period_length_days,Total_on_bout_duration,Total_on_bout_duration_seconds,Total_off_bout_duration,Total_obs_length_minutes,Total_obs_length_seconds,On_bout_proportion
2019/2020,AB/3,CP13045,1,4,0,7,10/11/2019,13/11/2019,20/11/2019,10:24:44,13.51665639,16,00:14:56,896,00:05:17,63,3780,0.237037037
2019/2020,AB/3,CP13045,1,4,0,14,10/11/2019,13/11/2019,27/11/2019,08:03:40,17.28785701,16,00:58:11,3491,01:25:27,81.01666667,4861,0.718164987
2019/2020,B1/11,CP11845,3,4,1,1,05/11/2019,09/11/2019,10/11/2019,15:01:26,17.61817244,14,00:45:30,2730,00:14:30,69,4140,0.65942029
2019/2020,B1/11,CP11845,3,4,1,7,05/11/2019,09/11/2019,18/11/2019,12:23:32,16.81427965,14,00:05:04,304,00:34:22,60,3600,0.084444444
2019/2020,B1/11,CP11845,3,4,1,13,05/11/2019,09/11/2019,22/11/2019,11:21:06,14.40416606,14,00:08:51,531,00:52:59,65,3900,0.136153846
2019/2020,B1/13B,CP13077,1,4,0,2,01/11/2019,04/11/2019,04/11/2019,13:55:00,15.4,15,00:08:08,488,00:05:42,24.46666667,1468,0.332425068
2019/2020,B1/13B,CP13077,1,4,0,3,01/11/2019,04/11/2019,05/11/2019,13:56:20,16.12916613,15,00:14:35,875,00:18:41,113.8333333,6830,0.128111274
2019/2020,B1/13B,CP13077,1,4,0,13,01/11/2019,04/11/2019,17/11/2019,13:29:00,15.76832268,15,00:08:58,538,00:21:22,160.4166667,9625,0.055896104
2019/2020,B1/19,CP12997,2,4,1,13,09/11/2019,13/11/2019,26/11/2019,11:31:14,16.66493324,14,00:00:00,0,00:05:59,65,3900,0
2019/2020,B1/2,CP13553,1,4,0,1,21/11/2019,24/11/2019,25/11/2019,13:01:00,16.72542974,15,00:15:44,944,00:14:33,67.28333333,4037,0.233837008
2019/2020,B1/2,CP13553,1,4,0,13,21/11/2019,24/11/2019,06/12/2019,14:11:00,17.76485294,15,00:31:42,1902,01:01:39,60,3600,0.528333333
2019/2020,B1/24,CP13020,2,3,0,1,03/12/2019,05/12/2019,06/12/2019,15:43:16,17.76485294,15,00:37:31,2251,00:05:49,77,4620,0.487229437
2019/2020,B1/26,CP9222,4,4,0,3,27/10/2019,30/10/2019,02/11/2019,13:14:00,13.65576801,N/A,00:31:20,1880,00:12:46,99,5940,0.316498316
2019/2020,B1/27B,CP8115,5,4,0,1,03/11/2019,06/11/2019,07/11/2019,16:59:00,17.67597239,15,00:00:00,0,00:21:00,47.85,2871,0
2019/2020,B1/27B,CP8115,5,4,0,2,03/11/2019,06/11/2019,07/11/2019,16:59:00,17.67597239,15,00:18:40,1120,01:07:20,47.85,2871,0.390107976
2019/2020,B1/27B,CP8115,5,4,0,7,03/11/2019,06/11/2019,13/11/2019,17:25:52,11.94487338,15,01:04:17,3857,00:07:02,65,3900,0.988974359
2019/2020,B1/27B,CP8115,5,4,0,13,03/11/2019,06/11/2019,19/11/2019,11:41:31,14.97497913,15,00:24:03,1443,00:02:36,60,3600,0.400833333
2019/2020,B1/28,CP13510,1,3,0,1,23/11/2019,25/11/2019,27/11/2019,15:35:40,17.28785701,15,00:04:33,273,00:05:49,62,3720,0.073387097
2019/2020,B1/28,CP13510,1,3,0,7,23/11/2019,25/11/2019,01/12/2019,14:49:37,18.18570867,15,00:05:09,309,00:33:47,65,3900,0.079230769
2019/2020,B1/28,CP13510,1,3,0,13,23/11/2019,25/11/2019,07/12/2019,11:18:08,18.18735825,15,00:04:48,288,00:04:09,60,3600,0.08
2019/2020,B1/9,CP13444,1,4,0,2,01/11/2019,04/11/2019,05/11/2019,14:35:00,16.12916613,15,00:41:48,2508,01:15:17,66,3960,0.633333333
2019/2020,B1/9,CP13444,1,4,0,13,01/11/2019,04/11/2019,17/11/2019,16:42:40,15.76832268,15,01:45:38,6338,00:23:01,58,3480,1.821264368
2019/2020,B2/11,CP13502,1,4,0,1,08/11/2019,11/11/2019,12/11/2019,13:07:01,14.34224529,15,00:06:56,416,00:12:38,64,3840,0.108333333
2019/2020,B2/11,CP13502,1,4,0,7,08/11/2019,11/11/2019,18/11/2019,13:19:15,16.81427965,15,00:14:58,898,00:08:01,55,3300,0.272121212
2019/2020,B2/11,CP13502,1,4,0,13,08/11/2019,11/11/2019,24/11/2019,10:21:40,16.77855774,15,00:12:10,730,00:19:52,59,3540,0.206214689
2019/2020,B2/14,CP11840,3,3,0,2,07/11/2019,10/11/2019,12/11/2019,11:55:36,14.34224529,16,00:24:41,1481,00:11:12,45.38333333,2723,0.543885421
2019/2020,B2/14,CP11840,3,3,0,13,07/11/2019,10/11/2019,23/11/2019,13:22:57,15.55377768,16,00:08:06,486,00:08:09,73,4380,0.110958904
2019/2020,B2/15,CP12933,2,4,0,1,03/12/2019,06/12/2019,07/12/2019,13:38:14,18.18735825,14,00:17:24,1044,00:43:38,62,3720,0.280645161
2019/2020,B2/8,CP13487,1,4,1,1,22/11/2019,26/11/2019,27/11/2019,12:44:13,17.28785701,N/A,01:33:14,5594,00:20:00,62,3720,1.503763441
2019/2020,B2/9,CP13419,1,3,0,13,12/11/2019,14/11/2019,27/11/2019,12:24:38,17.28785701,14,00:05:00,300,00:00:00,22,1320,0.227272727
2019/2020,B21/11,CP13498,1,3,0,13,10/11/2019,12/11/2019,25/11/2019,10:08:00,16.72542974,15,00:06:03,363,00:10:20,62,3720,0.097580645
2019/2020,B21/14,CP13068,1,4,0,1,05/12/2019,08/12/2019,09/12/2019,14:14:20,17.95104454,15,00:21:44,1304,00:08:17,60,3600,0.362222222
2019/2020,B21/2,CP8110,5,4,0,1,03/11/2019,06/11/2019,07/11/2019,12:14:00,17.67597239,14,00:37:02,2222,00:23:27,148.8,8928,0.248879928
2019/2020,B21/2,CP8110,5,4,0,7,03/11/2019,06/11/2019,13/11/2019,14:16:52,11.94487338,14,00:18:21,1101,00:44:05,62.43333333,3746,0.293913508
2019/2020,B21/4,CP13061,1,3,0,1,10/11/2019,12/11/2019,14/11/2019,15:25:38,16.09596223,15,00:05:58,358,00:16:21,34.36666667,2062,0.173617847
2019/2020,B21/4,CP13061,1,3,0,13,10/11/2019,12/11/2019,25/11/2019,11:15:07,16.72542974,15,01:13:37,4417,00:58:33,79,4740,0.93185654
2019/2020,B22/1A,CP13554,1,4,0,1,20/11/2019,23/11/2019,24/11/2019,13:31:00,16.77855774,14,00:09:39,579,00:44:11,61,3660,0.158196721
2019/2020,B22/1A,CP13554,1,4,0,13,20/11/2019,23/11/2019,05/12/2019,11:12:50,17.28930305,14,00:14:18,858,00:05:23,67,4020,0.213432836
2019/2020,B22/2,CP13521,1,4,0,7,24/11/2019,06/11/2019,04/12/2019,12:25:37,18.05990033,N/A,00:49:13,2953,00:26:35,150.9666667,9058,0.326010157
2019/2020,B22/21,CP13055,1,1,0,7,06/11/2019,06/11/2019,13/11/2019,12:55:53,11.94487338,N/A,00:18:39,1119,00:26:07,62,3720,0.300806452
2019/2020,B22/23,CP12980,2,5,0,1,02/12/2019,06/12/2019,06/12/2019,12:21:28,17.76485294,14,00:02:38,158,00:06:04,73,4380,0.036073059
2019/2020,B22/25,CP13437,1,4,0,1,02/11/2019,05/11/2019,07/11/2019,13:47:00,17.67597239,15,00:13:53,833,00:29:02,63,3780,0.22037037
